Date,Open,High,Low,Close
07/03/2024,"1.2674","1.2778","1.2673","1.2744"
07/02/2024,"1.2648","1.2689","1.2615","1.2685"
07/01/2024,"1.2649","1.2707","1.2633","1.2650"
06/28/2024,"1.2644","1.2664","1.2619","1.2646"
06/27/2024,"1.2626","1.2671","1.2612","1.2640"
06/26/2024,"1.2687","1.2694","1.2614","1.2621"
06/25/2024,"1.2685","1.2703","1.2670","1.2685"
06/24/2024,"1.2651","1.2699","1.2632","1.2686"
06/21/2024,"1.2658","1.2676","1.2622","1.2645"
06/20/2024,"1.2720","1.2725","1.2654","1.2659"
06/19/2024,"1.2708","1.2741","1.2698","1.2719"
06/18/2024,"1.2705","1.2721","1.2668","1.2709"
06/17/2024,"1.2672","1.2710","1.2658","1.2704"
06/14/2024,"1.2764","1.2764","1.2656","1.2687"
06/13/2024,"1.2799","1.2808","1.2738","1.2763"
06/12/2024,"1.2739","1.2861","1.2732","1.2797"
06/11/2024,"1.2731","1.2752","1.2706","1.2741"
06/10/2024,"1.2728","1.2739","1.2688","1.2732"
06/07/2024,"1.2792","1.2812","1.2715","1.2726"
06/06/2024,"1.2788","1.2810","1.2763","1.2791"
06/05/2024,"1.2768","1.2796","1.2755","1.2787"
06/04/2024,"1.2806","1.2818","1.2743","1.2769"
06/03/2024,"1.2737","1.2809","1.2694","1.2808"
