Date,Open,High,Low,Close,Change(Pips),Change(%)
07/04/2024 00:00,1.07909,1.0804,1.0782,1.07965,5.6,0.05,
07/03/2024 00:00,1.0748,1.08164,1.0735,1.07907,42.7,0.40,
07/02/2024 00:00,1.07363,1.075,1.0708,1.07473,11.0,0.10,
07/01/2024 00:00,1.07348,1.07764,1.0718,1.07363,1.5,0.01,
06/30/2024 00:00,1.07391,1.07435,1.07322,1.0735,-4.1,-0.04,
06/28/2024 00:00,1.07076,1.0726,1.0684,1.0713,5.4,0.05,
06/27/2024 00:00,1.06797,1.07265,1.0675,1.07075,27.8,0.26,
06/26/2024 00:00,1.0708,1.0718,1.0664,1.06798,-28.2,-0.26,
06/25/2024 00:00,1.0732,1.07441,1.0658,1.0709,-23,-0.21,
06/24/2024 00:00,1.06877,1.0747,1.0682,1.0732,44.3,0.41,
06/23/2024 00:00,1.06874,1.06953,1.0685,1.06876,0.2,0.00,
06/21/2024 00:00,1.07059,1.0721,1.067,1.0692,-13.9,-0.13,
06/20/2024 00:00,1.0747,1.07481,1.06989,1.07064,-40.6,-0.38,
06/19/2024 00:00,1.07385,1.0754,1.0723,1.07473,8.8,0.08,
06/18/2024 00:00,1.07398,1.07614,1.0709,1.07394,-0.4,0.00,
06/17/2024 00:00,1.07022,1.07411,1.0685,1.0738,35.8,0.33,
06/16/2024 00:00,1.07024,1.07087,1.07,1.07025,0.1,0.00,
06/14/2024 00:00,1.07371,1.0745,1.0666,1.0703,-34.1,-0.32,
06/13/2024 00:00,1.08126,1.0817,1.0732,1.0737,-75.6,-0.70,
06/12/2024 00:00,1.074,1.08523,1.0733,1.0812,72,0.67,
06/11/2024 00:00,1.07634,1.07735,1.0719,1.07396,-23.8,-0.22,
06/10/2024 00:00,1.07785,1.07812,1.0731,1.07633,-15.2,-0.14,
06/09/2024 00:00,1.07754,1.0781,1.07621,1.0778,2.6,0.02,
06/07/2024 00:00,1.08913,1.09017,1.0796,1.0816,-75.3,-0.70,
06/06/2024 00:00,1.08737,1.09019,1.0861,1.0891,17.3,0.16,
06/05/2024 00:00,1.08815,1.0892,1.0853,1.0874,-7.5,-0.07,
06/04/2024 00:00,1.0907,1.0916,1.0858,1.08815,-25.5,-0.23,
06/03/2024 00:00,1.08524,1.0911,1.0826,1.09065,54.1,0.50,
06/02/2024 00:00,1.08434,1.08544,1.08417,1.08527,9.3,0.09,
05/31/2024 00:00,1.08311,1.0882,1.081,1.08301,-1.0,-0.01,
05/30/2024 00:00,1.08007,1.08451,1.0787,1.08306,29.9,0.28,
05/29/2024 00:00,1.08509,1.0859,1.07891,1.0801,-49.9,-0.46,
05/28/2024 00:00,1.08614,1.08891,1.0849,1.08512,-10.2,-0.09,
05/27/2024 00:00,1.08464,1.08675,1.08207,1.08611,14.7,0.14,
05/26/2024 00:00,1.08446,1.08512,1.08403,1.0847,2.4,0.02,
