Date,Open,High,Low,Close,Change(Pips),Change(%)
07/04/2024 00:00,1.27466,1.27636,1.2739,1.27547,8.1,0.06,
07/03/2024 00:00,1.26872,1.2777,1.2676,1.2747,59.8,0.47,
07/02/2024 00:00,1.26446,1.2692,1.2614,1.26872,42.6,0.34,
07/01/2024 00:00,1.26483,1.27101,1.2632,1.26444,-3.9,-0.03,
06/30/2024 00:00,1.26466,1.26549,1.26349,1.26484,1.8,0.01,
06/28/2024 00:00,1.2644,1.26647,1.2618,1.26445,0.5,0.00,
06/27/2024 00:00,1.26206,1.26705,1.2611,1.2644,23.4,0.19,
06/26/2024 00:00,1.26837,1.26932,1.2613,1.26209,-62.8,-0.50,
06/25/2024 00:00,1.26818,1.27024,1.2669,1.26837,1.9,0.01,
06/24/2024 00:00,1.26378,1.2698,1.2631,1.26818,44.0,0.35,
06/23/2024 00:00,1.26402,1.2652,1.2634,1.2637,-3.2,-0.03,
06/21/2024 00:00,1.26594,1.26746,1.26208,1.2644,-15.4,-0.12,
06/20/2024 00:00,1.27198,1.27201,1.26481,1.26597,-60.1,-0.47,
06/19/2024 00:00,1.2706,1.274,1.26974,1.27203,14.3,0.11,
06/18/2024 00:00,1.27136,1.27208,1.2667,1.2705,-8.6,-0.07,
06/17/2024 00:00,1.26829,1.2714,1.2657,1.27135,30.6,0.24,
06/16/2024 00:00,1.2658,1.26871,1.2658,1.2682,24,0.19,
06/14/2024 00:00,1.27535,1.27631,1.2655,1.2686,-67.5,-0.53,
06/13/2024 00:00,1.27959,1.28076,1.27356,1.27537,-42.2,-0.33,
06/12/2024 00:00,1.27396,1.28603,1.2731,1.2796,56.4,0.44,
06/11/2024 00:00,1.27254,1.27514,1.2705,1.27395,14.1,0.11,
06/10/2024 00:00,1.27279,1.27373,1.2687,1.27256,-2.3,-0.02,
06/09/2024 00:00,1.27299,1.27315,1.2713,1.27276,-2.3,-0.02,
06/07/2024 00:00,1.27915,1.28177,1.2714,1.2721,-70.5,-0.55,
06/06/2024 00:00,1.27932,1.2809,1.2762,1.2791,-2.2,-0.02,
06/05/2024 00:00,1.27724,1.27954,1.2754,1.27934,21.0,0.16,
06/04/2024 00:00,1.28095,1.28171,1.27424,1.27718,-37.7,-0.30,
06/03/2024 00:00,1.27439,1.2815,1.2693,1.28092,65.3,0.51,
06/02/2024 00:00,1.27228,1.27454,1.27221,1.27443,21.5,0.17,
05/31/2024 00:00,1.2727,1.2766,1.2698,1.274,13,0.10,
05/30/2024 00:00,1.26972,1.27472,1.2679,1.27286,31.4,0.25,
05/29/2024 00:00,1.27569,1.2772,1.2693,1.26966,-60.3,-0.47,
05/28/2024 00:00,1.2771,1.28005,1.2752,1.27577,-13.3,-0.10,
05/27/2024 00:00,1.27335,1.2778,1.2732,1.2771,37.5,0.29,
05/26/2024 00:00,1.2735,1.27427,1.2732,1.27336,-1.4,-0.01,
05/24/2024 00:00,1.26928,1.2751,1.26731,1.2737,44.2,0.35,
05/23/2024 00:00,1.27199,1.27465,1.2684,1.26934,-26.5,-0.21,
05/22/2024 00:00,1.27092,1.27612,1.2699,1.272,10.8,0.08,
05/21/2024 00:00,1.27094,1.2727,1.2686,1.2711,1.6,0.01,
05/20/2024 00:00,1.27056,1.27252,1.2688,1.27093,3.7,0.03,
05/19/2024 00:00,1.27015,1.2708,1.27003,1.2705,3.5,0.03,
05/17/2024 00:00,1.26707,1.2712,1.2643,1.27,29.3,0.23,
05/16/2024 00:00,1.26887,1.27006,1.26433,1.26713,-17.4,-0.14,
05/15/2024 00:00,1.25837,1.2694,1.25837,1.26887,105.0,0.83,
05/14/2024 00:00,1.25605,1.25929,1.25094,1.2584,23.5,0.19,
05/13/2024 00:00,1.25217,1.25689,1.25172,1.25599,38.2,0.30,
05/12/2024 00:00,1.25144,1.25275,1.25109,1.25219,7.5,0.06,
05/10/2024 00:00,1.25249,1.25413,1.25022,1.25236,-1.3,-0.01,
05/09/2024 00:00,1.24928,1.253,1.2445,1.25249,32.1,0.26,
05/08/2024 00:00,1.25009,1.2505,1.24676,1.24927,-8.2,-0.07,
05/07/2024 00:00,1.25602,1.25706,1.24924,1.25017,-58.5,-0.47,
05/06/2024 00:00,1.25399,1.2595,1.2537,1.25616,21.7,0.17,
05/05/2024 00:00,1.25482,1.25529,1.2539,1.25402,-8.0,-0.06,
05/03/2024 00:00,1.25394,1.2634,1.25286,1.25461,6.7,0.05,
05/02/2024 00:00,1.25357,1.2545,1.2471,1.2539,3.3,0.03,
05/01/2024 00:00,1.24885,1.25496,1.2465,1.25336,45.1,0.36,
04/30/2024 00:00,1.25587,1.2561,1.24837,1.24881,-70.6,-0.57,
04/29/2024 00:00,1.25091,1.25692,1.2506,1.25586,49.5,0.39,
04/28/2024 00:00,1.24886,1.251,1.24885,1.2508,19.4,0.16,
04/26/2024 00:00,1.25068,1.2541,1.2448,1.2487,-19.8,-0.16,
04/25/2024 00:00,1.24591,1.2529,1.2453,1.2505,45.9,0.37,
04/24/2024 00:00,1.24541,1.247,1.2421,1.24582,4.1,0.03,
04/23/2024 00:00,1.23492,1.2459,1.233,1.24543,105.1,0.84,
04/22/2024 00:00,1.23755,1.2393,1.2298,1.23491,-26.4,-0.21,
04/21/2024 00:00,1.23733,1.2379,1.23653,1.23747,1.4,0.01,
04/19/2024 00:00,1.24342,1.24684,1.2358,1.2368,-66.2,-0.54,
04/18/2024 00:00,1.24524,1.24845,1.2429,1.24349,-17.5,-0.14,
04/17/2024 00:00,1.24299,1.24818,1.2416,1.245,20.1,0.16,
04/16/2024 00:00,1.24461,1.24719,1.2404,1.24291,-17.0,-0.14,
04/15/2024 00:00,1.24591,1.2499,1.2434,1.24459,-13.2,-0.11,
04/14/2024 00:00,1.24461,1.24627,1.24439,1.24592,13.1,0.11,
04/12/2024 00:00,1.25543,1.2559,1.2425,1.2456,-98.3,-0.79,
04/11/2024 00:00,1.25363,1.25785,1.2509,1.25541,17.8,0.14,
04/10/2024 00:00,1.26762,1.27048,1.2518,1.25363,-139.9,-1.12,
04/09/2024 00:00,1.26572,1.27091,1.2647,1.26767,19.5,0.15,
04/08/2024 00:00,1.2622,1.26642,1.2612,1.26569,34.9,0.28,
04/07/2024 00:00,1.26304,1.26334,1.26204,1.2623,-7.4,-0.06,
04/05/2024 00:00,1.26387,1.2649,1.25732,1.2637,-1.7,-0.01,
04/04/2024 00:00,1.26504,1.26834,1.26325,1.26389,-11.5,-0.09,
04/03/2024 00:00,1.25753,1.2656,1.25617,1.265,74.7,0.59,
04/02/2024 00:00,1.25456,1.2582,1.2538,1.2574,28.4,0.23,
04/01/2024 00:00,1.26373,1.2643,1.2538,1.25459,-91.4,-0.73,
03/29/2024 00:00,1.26196,1.2646,1.26073,1.2625,5.4,0.04,
03/28/2024 00:00,1.26173,1.26542,1.2584,1.26206,3.3,0.03,
03/27/2024 00:00,1.26274,1.2641,1.2604,1.26164,-11.0,-0.09,
03/26/2024 00:00,1.26358,1.2668,1.26202,1.26273,-8.5,-0.07,
03/25/2024 00:00,1.25972,1.26522,1.259,1.26359,38.7,0.31,
03/22/2024 00:00,1.26598,1.2675,1.2574,1.26,-59.8,-0.47,
03/21/2024 00:00,1.27974,1.28033,1.26462,1.266,-137.4,-1.09,
03/20/2024 00:00,1.27171,1.2798,1.2683,1.27971,80.0,0.63,
03/19/2024 00:00,1.27257,1.2733,1.2667,1.27172,-8.5,-0.07,
