Date,Open,High,Low,Close,Change(Pips),Change(%)
07/11/2024 00:00,1.28539,1.28780,1.2848,1.28628,8.9,0.07,
07/10/2024 00:00,1.27881,1.2854,1.2782,1.28538,65.7,0.51,
07/09/2024 00:00,1.28151,1.28251,1.27673,1.27878,-27.3,-0.21,
07/08/2024 00:00,1.28056,1.28457,1.27995,1.28153,9.7,0.08,
07/07/2024 00:00,1.27872,1.28156,1.27856,1.2806,18.8,0.15,
07/05/2024 00:00,1.27547,1.2818,1.2753,1.2813,58.3,0.46,
07/04/2024 00:00,1.27466,1.2768,1.2739,1.27546,8.0,0.06,
07/03/2024 00:00,1.26872,1.27773,1.2676,1.27468,59.6,0.47,
07/02/2024 00:00,1.26446,1.2692,1.2614,1.26872,42.6,0.34,
07/01/2024 00:00,1.26486,1.27073,1.26304,1.26451,-3.5,-0.03,
06/30/2024 00:00,1.26466,1.26549,1.26349,1.26484,1.8,0.01,
06/28/2024 00:00,1.2644,1.26647,1.2618,1.26445,0.5,0.00,
06/27/2024 00:00,1.26206,1.26705,1.2611,1.26435,22.9,0.18,
06/26/2024 00:00,1.26837,1.26932,1.2613,1.26209,-62.8,-0.50,
06/25/2024 00:00,1.26818,1.27024,1.2669,1.26837,1.9,0.01,
06/24/2024 00:00,1.26378,1.2698,1.2631,1.26818,44.0,0.35,
06/23/2024 00:00,1.26402,1.2652,1.2634,1.2637,-3.2,-0.03,
06/21/2024 00:00,1.26594,1.26746,1.26208,1.2644,-15.4,-0.12,
06/20/2024 00:00,1.27198,1.27201,1.26481,1.26597,-60.1,-0.47,
06/19/2024 00:00,1.2706,1.274,1.26974,1.27203,14.3,0.11,
06/18/2024 00:00,1.27136,1.27208,1.2667,1.2705,-8.6,-0.07,
06/17/2024 00:00,1.26829,1.2714,1.2657,1.27135,30.6,0.24,
06/16/2024 00:00,1.2658,1.26871,1.2658,1.2682,24,0.19,
06/14/2024 00:00,1.27535,1.27631,1.2655,1.2686,-67.5,-0.53,
06/13/2024 00:00,1.27959,1.28076,1.27356,1.27537,-42.2,-0.33,
06/12/2024 00:00,1.27396,1.28603,1.2731,1.2796,56.4,0.44,
06/11/2024 00:00,1.27254,1.27514,1.2705,1.27395,14.1,0.11,
06/10/2024 00:00,1.27279,1.27373,1.2687,1.27256,-2.3,-0.02,
06/09/2024 00:00,1.27299,1.27315,1.2713,1.27276,-2.3,-0.02,
06/07/2024 00:00,1.27915,1.28177,1.2714,1.2721,-70.5,-0.55,
06/06/2024 00:00,1.27932,1.2809,1.2762,1.2791,-2.2,-0.02,
06/05/2024 00:00,1.27724,1.27954,1.2754,1.27934,21.0,0.16,
06/04/2024 00:00,1.28095,1.28171,1.27424,1.27718,-37.7,-0.30,
06/03/2024 00:00,1.27439,1.2815,1.2693,1.28092,65.3,0.51,
06/02/2024 00:00,1.27228,1.27454,1.27221,1.27443,21.5,0.17,
05/31/2024 00:00,1.2727,1.2766,1.2698,1.274,13,0.10,
05/30/2024 00:00,1.26972,1.27472,1.2679,1.27286,31.4,0.25,
05/29/2024 00:00,1.27569,1.2772,1.2693,1.26966,-60.3,-0.47,
05/28/2024 00:00,1.2771,1.28005,1.2752,1.27577,-13.3,-0.10,
05/27/2024 00:00,1.27335,1.2778,1.2732,1.2771,37.5,0.29,
05/26/2024 00:00,1.2735,1.27427,1.2732,1.27336,-1.4,-0.01,
05/24/2024 00:00,1.26928,1.2751,1.26731,1.2737,44.2,0.35,
05/23/2024 00:00,1.27199,1.27465,1.2684,1.26934,-26.5,-0.21,
05/22/2024 00:00,1.27092,1.27612,1.2699,1.272,10.8,0.08,
05/21/2024 00:00,1.27094,1.2727,1.2686,1.2711,1.6,0.01,
05/20/2024 00:00,1.27056,1.27252,1.2688,1.27093,3.7,0.03,
05/19/2024 00:00,1.27015,1.2708,1.27003,1.2705,3.5,0.03,
05/17/2024 00:00,1.26707,1.2712,1.2643,1.27,29.3,0.23,
05/16/2024 00:00,1.26887,1.27006,1.26433,1.26713,-17.4,-0.14,
05/15/2024 00:00,1.25837,1.2694,1.25837,1.26887,105.0,0.83,
05/14/2024 00:00,1.25605,1.25929,1.25094,1.2584,23.5,0.19,
05/13/2024 00:00,1.25217,1.25689,1.25172,1.25599,38.2,0.30,
